latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-32.833,119.886,428.3,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,323.4,1059.6,D
-32.835,119.866,378.7,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,313.4,313.9,D
-32.817,119.923,352,1.8,1.3,2020-02-07,0530,A,71,6.0NRT,305.9,114.5,D
-32.819,119.903,431.1,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,321,1116.4,D
-32.821,119.884,392.9,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,317.5,466.5,D
-32.823,119.865,422.3,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,321.4,942.6,D
-32.825,119.846,385.2,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,312.6,380.1,D
-32.805,119.921,426.8,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,323,1021.3,D
-32.807,119.902,430,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,332.8,1096.2,D
-32.809,119.883,369.8,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,313.2,235.3,D
-32.811,119.864,424.5,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,324.3,987.8,D
-32.813,119.844,361.6,1.8,1.3,2020-02-07,0530,A,66,6.0NRT,311.1,183.3,D
-32.816,119.805,339.7,1.8,1.3,2020-02-07,0530,A,48,6.0NRT,281.8,70.1,D
-32.792,119.939,393.9,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,312.7,476.7,D
-32.793,119.92,422.4,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,328.4,932.9,D
-32.795,119.9,363.8,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,313.5,191.7,D
-32.797,119.881,414.5,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,319.6,792,D
-32.799,119.862,425.3,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,324.2,1003.8,D
-32.804,119.804,334.6,1.8,1.3,2020-02-07,0530,A,48,6.0NRT,275.7,51.7,D
-32.78,119.937,364.6,1.8,1.3,2020-02-07,0530,A,87,6.0NRT,286.2,198.7,D
-32.782,119.918,378.8,1.8,1.3,2020-02-07,0530,A,94,6.0NRT,307.4,311,D
-32.783,119.899,394.1,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,314.4,481.7,D
-32.785,119.88,419.6,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,324.4,887.6,D
-32.787,119.86,396.2,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,317.8,512.6,D
-32.792,119.802,350.5,1.8,1.3,2020-02-07,0530,A,80,6.0NRT,283.3,120.2,D
-32.77,119.917,337.6,1.8,1.3,2020-02-07,0530,A,61,6.0NRT,286.6,62.3,D
-32.771,119.897,360.4,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,307,173.3,D
-32.773,119.878,374.7,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,313.8,283.6,D
-32.775,119.859,382.4,1.8,1.3,2020-02-07,0530,A,100,6.0NRT,316.5,356.3,D
-32.777,119.84,365.1,1.8,1.3,2020-02-07,0530,A,73,6.0NRT,311.5,208,D
-32.781,119.801,388.6,1.8,1.3,2020-02-07,0530,A,87,6.0NRT,305.7,425.5,D
-32.782,119.781,355.4,1.8,1.3,2020-02-07,0530,A,73,6.0NRT,274.1,148.2,D
-32.758,119.915,363.2,1.8,1.3,2020-02-07,0530,A,75,6.0NRT,294.9,189.1,D
-32.76,119.896,346.7,1.8,1.3,2020-02-07,0530,A,64,6.0NRT,305,97.8,D
-32.765,119.838,363.5,1.8,1.3,2020-02-07,0530,A,0,6.0NRT,287.3,199.6,D
-32.769,119.799,398.2,1.8,1.3,2020-02-07,0530,A,0,6.0NRT,294.9,547.6,D
